frida.name,N,N_rel
skummetmælk,148978,0.16966702768942
sodavand m. sukker,100397,0.114339436553952
rugbrød,95982,0.10931131208424
"chokolade, fløde",91614,0.104336714647388
"agurk, rå",87843,0.10004202441516
"banan, rå",70732,0.0805547678350365
sodavand u. sukker,70418,0.0801971617006108
"kartoffel, uspec., rå",68399,0.0778977770337141
"tomat, dansk, rå",67420,0.0767828203279727
æg,67167,0.0764946854489608
"gulerod, dansk, rå",58093,0.0661605514878807
"peberfrugt, rød, rå",58078,0.0661434683922871
letmælk,57241,0.065190231658165
"smør, saltet",54551,0.0621266631817152
leverpostej,49303,0.0561498574700391
"æble, dansk, råt",48854,0.0556385034752711
"oksekød, hakket, 10-15% fedt, råt",44966,0.0512105650974135
"mineralvand, dansk vand o.lign.",41231,0.0469568742946105
vingummi,40852,0.0465252414126126
"bacon i skiver, rå",40334,0.0459353051781141
